cert_name,completed_date,course_length,study_time,platform_id,showcase,cert_code,cloud_path,exam_score,hands_on,repo,posted_linkedin,note
Learning Data Visualization,2024-11-14,01:51,,1,,9eb66d38c3b4264ccff3f5ca84cc16cea14925623e2210495009f979013476c6,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Data Analytics/Data Visualization',,,,,
Data Visualization: Storytelling,2024-11-23,01:32,,1,,38d93adc3fca8925756fc45c3c5e9e93cf8904507919c65317d34e1b55ce24bc,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Data Analytics/Data Visualization/Data Visualization_ Storytelling',,,,,
Python Essential Training,2024-11-26,04:22,,1,,f3366529f34a653b15b61d7b27b2cf8fad018dc366dbd0be8bb6c8487deaf646,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Python/Python Essential Training',,,,,
"Complete Guide to R: Wrangling, Visualizing, and Modeling Data",2024-12-17,08:15,,1,yes,cda636a3488b20f3ca4588da67cce585fbc300cafff630d305328d97cfa3f3f1,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Data Analytics/R/Complete Guide to R',,,,,
Python for Data Science and Machine Learning Essential Training Part 1,2025-01-11,07:44,,1,yes,fedfce377e6109384c84bb5ad2d353cd9a39078d2bef945d21dcbd9f199e19b9,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Python/py for Data Science and Machine Learning Essential Training Part 1',,,,,
Data Visualization: Best Practices,2025-01-26,01:49,,1,,1e79b475070901138f7cb3f3d3808cc8b5b4aded5ff4a9ec4a39de45a34335a6,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Data Analytics/Data Visualization/Data Visualization Best Practices',,,,,
R for Excel Users,2025-02-06,01:14,,1,,322cdf18b3e487803c0591c3c17e4062d42d7d1da03effd9f322101bad970c37,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Data Analytics/R/R for Excel Users',,,,,
Hands-On SQL Challenges: Test Your Knowledge,2025-04-16,00:39,,1,,2c049b84b9fb59612c3a1468c9f2cadde7d26c05f12bedf000d2caddc5e916e3,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Data Analytics/SQL',,,,,
Introduction to PostgreSQL,2025-04-24,00:48,,1,,573183e6976d252bb5acc8a663a14bb2510e1fb4476a28ecdef172e75b4cebbe,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Data Analytics/PostgreSQL',,,,,
PostgreSQL Essential Training,2025-04-30,03:00,,1,,94de7b3bb4c56d4a0c2701f82bbbd269b5eaf62f2c610533294ec2d21c6d1d03,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Data Analytics/PostgreSQL',,,,,
Level Up: SQL,2025-05-10,01:04,,1,,1eb058fe5c19ae1c3fb7364091e027ff8f2bd984c67469abc8141b7e7359508a,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Data Analytics/SQL',,,,,
Advanced SQL for Query Tuning and Performance Optimization,2025-05-12,02:09,,1,yes,ba925b18e2734dffb39449b9b6c9ff5989ae2a30e77eb1a7b600e3a6ea176d5b,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Data Analytics/PostgreSQL',,,,,
Python for Data Science and Machine Learning Essential Training Part 2,2025-05-15,05:16,,1,yes,6cb0892ce9fd072eda490a1bb1956d4cbd12a016ee38ad4f32d4799e72662276,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Python/Python for Data Science and Machine Learning Essential Training Part 2',,,,,
Advanced PostgreSQL,2025-05-23,02:20,,1,yes,811854721bf41c3a1f7407d4a0251c2f26bcec1cc070d28169b45edba87e750f,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Data Analytics/PostgreSQL',,,,,
Python Data Analysis (2020),2025-06-02,02:30,20:59,1,yes,1bdeb1fb1faf777d5e4ea386831168818440b803c738d251c9ce545833571f1f,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Python/Python Data Analysis (2020)',0.83,yes,https://github.com/farhoudkhf/pyProjDataAnalysis_v2.1,2025-06-02 16:00:00,
Statistics Foundations 3: Using Data Sets,2025-06-05,01:44,16:02,1,yes,8dfb244805653af844558437b79269b114bfe53ec67568cf258b15c6643ead46,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Data Analytics/Statistic/Stat3 Statistics Foundations 3_ Using Data Sets',0.75,,,2025-06-05 10:40:00,
R for Data Science: Analysis and Visualization,2025-06-09,02:56,10:43,1,yes,faae73038aaeb3cc89fbccdadebc421ba0b9f020127c2f17613df5394390db67,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Data Analytics/R/R for Data Science_ Analysis and Visualization',,yes,https://github.com/farhoudkhf/R_Data_Science_Analysis_Visualization/tree/main,2025-06-09 14:00:00,
Data Engineering Foundations,2025-06-09,01:05,08:00,1,,e0cf84dd5ac45ae1f6089b3cb32b284cb8f27be2e4a5a022c06bcaa9109c522d,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Data Engineering/Data Engineering Foundations',0.9,,,,too hard to setup
Designing Data Governance,2024-10-26,00:39,,1,,45838d8ac62214dcc32a98eed659460cfc2da0e15741c027d638aebb49338b59,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/all - Copy of All Certificates',,,,,
Learning Data Governance,2024-10-24,01:25,,1,,3692fe7e122efd3fcf2cd26ba333a7c74e639cec0924bcba25aa2fda8661c8e7,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/all - Copy of All Certificates',,,,,
PostgreSQL: Advanced Queries,2025-06-16,02:50,21:37,1,yes,feb663ad7aec606eb17cd96d5151bd2aaeacb6376cad5b3cb8c80a46ea4d9268,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Data Analytics/PostgreSQL',,yes,https://github.com/farhoudkhf/db_Advance_Query_Tuning_Optimization,2025-06-16 21:00:00,
